IP:PORT, LOSS, DELAY
[2606:4700:d0::c738:e898:96eb:aeaa]:8742,0.00%,185 ms#本地优选IP
[2606:4700:d1::449e:e04a:5fea:b9b3]:8742,0.00%,186 ms#本地优选IP
[2606:4700:d1::a78a:47b7:cda9:c0ff]:8742,0.00%,186 ms#本地优选IP
[2606:4700:d0::bee3:7404:a766:0138]:928,0.00%,186 ms#本地优选IP
[2606:4700:d1::4606:61af:566a:21c1]:928,0.00%,186 ms#本地优选IP
[2606:4700:d0::458f:cd02:6f83:dbd4]:928,0.00%,186 ms#本地优选IP
[2606:4700:d0::4a6a:764c:da5b:4d81]:8742,0.00%,186 ms#本地优选IP
[2606:4700:d0::794d:8574:1f17:3cbc]:8742,0.00%,186 ms#本地优选IP
[2606:4700:d0::d9d8:4788:c434:85d9]:928,0.00%,186 ms
[2606:4700:d0::a00d:d46f:6b37:429b]:928,0.00%,186 ms
[2606:4700:d1::e920:85dc:e8be:d6d8]:928,0.00%,186 ms
[2606:4700:d1::9ac9:9064:efaf:e89f]:928,0.00%,186 ms
[2606:4700:d1::6827:d04b:f6e1:3722]:928,0.00%,186 ms
[2606:4700:d0::cc40:1e7d:c966:1f79]:928,0.00%,186 ms
[2606:4700:d1::dfd5:7427:9281:a435]:928,0.00%,186 ms
[2606:4700:d1::5341:8893:15f4:8253]:928,0.00%,186 ms
[2606:4700:d0::e3a2:1e62:4e38:9566]:8742,0.00%,186 ms
[2606:4700:d1::acbf:ecdd:5897:abd2]:928,0.00%,186 ms
[2606:4700:d1::5733:81df:848f:f499]:8742,0.00%,186 ms
[2606:4700:d1::97b7:dabd:6558:9c44]:928,0.00%,186 ms
[2606:4700:d0::8e7c:0211:3a09:e40f]:928,0.00%,186 ms
[2606:4700:d0::8d04:63d8:deb6:d1c5]:8742,0.00%,186 ms
[2606:4700:d0::eaee:af33:f144:e212]:8742,0.00%,186 ms
[2606:4700:d0::d9d8:4788:c434:85d9]:8742,0.00%,186 ms
[2606:4700:d0::d30c:e404:3490:7ce9]:8742,0.00%,186 ms
[2606:4700:d0::1676:52da:5b6f:99fc]:928,0.00%,187 ms
[2606:4700:d0::bfcb:acbf:039d:d7c5]:8742,0.00%,187 ms
[2606:4700:d0::02d3:c44d:5088:2429]:928,0.00%,187 ms
[2606:4700:d1::c894:74ee:2aa3:a225]:8742,0.00%,187 ms
[2606:4700:d1::a678:7961:707f:1d25]:928,0.00%,187 ms
[2606:4700:d1::c97f:d4cd:e0c3:d264]:8742,0.00%,187 ms
[2606:4700:d0::f3e8:8541:ef02:f8ae]:928,0.00%,187 ms
[2606:4700:d0::ec17:8c5b:77e2:e394]:8742,0.00%,187 ms
[2606:4700:d1::b197:15ff:791d:f8f0]:8742,0.00%,187 ms
[2606:4700:d0::d825:3668:1edc:db01]:928,0.00%,187 ms
[2606:4700:d1::9c50:6f75:85ff:18d3]:8742,0.00%,187 ms
[2606:4700:d1::97b7:dabd:6558:9c44]:8742,0.00%,187 ms
[2606:4700:d0::8004:02a8:f1be:09b2]:928,0.00%,187 ms
[2606:4700:d1::5733:81df:848f:f499]:928,0.00%,187 ms
[2606:4700:d0::2e80:40fc:b902:c2fa]:8742,0.00%,187 ms
[2606:4700:d0::8e7c:0211:3a09:e40f]:8742,0.00%,187 ms
[2606:4700:d0::ec17:8c5b:77e2:e394]:928,0.00%,187 ms
[2606:4700:d0::0c3d:1e98:6675:dbd0]:8742,0.00%,187 ms
[2606:4700:d0::0e74:0d7c:3736:5518]:928,0.00%,187 ms
[2606:4700:d0::4db5:8758:bfef:c41b]:928,0.00%,187 ms
[2606:4700:d0::ba8a:2d6f:6bfe:1432]:8742,0.00%,187 ms
[2606:4700:d1::5341:8893:15f4:8253]:8742,0.00%,187 ms
[2606:4700:d1::4606:61af:566a:21c1]:8742,0.00%,187 ms
[2606:4700:d1::9ac9:9064:efaf:e89f]:8742,0.00%,187 ms
[2606:4700:d0::17a1:7ed6:efc9:4caf]:928,0.00%,187 ms
[2606:4700:d0::5ab9:b322:a965:9aea]:8742,0.00%,187 ms
[2606:4700:d1::69cc:0ce2:a982:5ab5]:8742,0.00%,187 ms
[2606:4700:d0::d1c2:e5f2:3525:dde9]:928,0.00%,187 ms
[2606:4700:d0::e3a2:1e62:4e38:9566]:928,0.00%,187 ms
[2606:4700:d0::f3e8:8541:ef02:f8ae]:8742,0.00%,187 ms
[2606:4700:d1::f765:e3a6:bca0:9d76]:8742,0.00%,187 ms
[2606:4700:d1::4006:1f87:8757:2079]:8742,0.00%,187 ms
[2606:4700:d1::e920:85dc:e8be:d6d8]:8742,0.00%,187 ms
[2606:4700:d0::6f83:b9cc:6a3a:c424]:8742,0.00%,187 ms
[2606:4700:d1::3b06:eb92:e73a:2efb]:8742,0.00%,187 ms
