IP:PORT, LOSS, DELAY
162.159.192.180:880,0.00%,173 ms
162.159.192.169:4198,0.00%,181 ms
162.159.192.180:4198,0.00%,181 ms
188.114.99.151:4198,0.00%,190 ms
188.114.99.63:880,0.00%,190 ms
188.114.99.56:4198,0.00%,190 ms
188.114.96.170:880,0.00%,190 ms
188.114.97.96:880,0.00%,190 ms
188.114.99.104:4198,0.00%,190 ms
188.114.99.239:880,0.00%,191 ms
188.114.98.146:880,0.00%,191 ms
162.159.195.185:880,0.00%,191 ms
188.114.99.63:4198,0.00%,191 ms
188.114.97.217:880,0.00%,191 ms
188.114.99.239:4198,0.00%,191 ms
162.159.195.1:4198,0.00%,191 ms
188.114.98.6:880,0.00%,191 ms
162.159.195.201:880,0.00%,191 ms
188.114.96.219:880,0.00%,191 ms
162.159.195.65:4198,0.00%,191 ms
162.159.192.73:4198,0.00%,191 ms
188.114.98.219:880,0.00%,191 ms
188.114.97.85:4198,0.00%,191 ms
188.114.99.170:4198,0.00%,191 ms
188.114.97.217:4198,0.00%,191 ms
188.114.99.59:880,0.00%,191 ms
162.159.192.232:4198,0.00%,191 ms
162.159.192.203:4198,0.00%,191 ms
162.159.195.35:880,0.00%,191 ms
188.114.99.60:4198,0.00%,191 ms
188.114.99.75:880,0.00%,191 ms
188.114.99.151:880,0.00%,191 ms
188.114.96.86:4198,0.00%,191 ms
188.114.98.219:4198,0.00%,191 ms
188.114.99.74:880,0.00%,191 ms
162.159.192.224:4198,0.00%,191 ms
188.114.98.150:880,0.00%,191 ms
188.114.98.21:4198,0.00%,191 ms
162.159.195.165:880,0.00%,191 ms
188.114.99.75:4198,0.00%,191 ms
162.159.195.236:880,0.00%,191 ms
188.114.98.252:880,0.00%,191 ms
162.159.192.199:880,0.00%,191 ms
188.114.96.94:4198,0.00%,191 ms
188.114.99.216:4198,0.00%,191 ms
188.114.96.234:880,0.00%,191 ms
188.114.96.63:4198,0.00%,191 ms
162.159.192.224:880,0.00%,191 ms
162.159.192.231:4198,0.00%,191 ms
188.114.98.150:4198,0.00%,192 ms
188.114.99.59:4198,0.00%,192 ms
188.114.96.8:880,0.00%,192 ms
188.114.96.63:880,0.00%,192 ms
162.159.195.201:4198,0.00%,192 ms
188.114.97.16:4198,0.00%,192 ms
188.114.99.160:4198,0.00%,192 ms
188.114.97.142:4198,0.00%,192 ms
188.114.99.249:880,0.00%,192 ms
188.114.96.96:880,0.00%,192 ms
188.114.97.225:880,0.00%,192 ms
162.159.195.162:880,0.00%,192 ms
188.114.98.206:880,0.00%,192 ms
188.114.97.111:4198,0.00%,192 ms
188.114.98.146:4198,0.00%,192 ms
188.114.98.144:4198,0.00%,192 ms
188.114.99.147:880,0.00%,192 ms
188.114.96.136:880,0.00%,192 ms
162.159.195.165:4198,0.00%,192 ms
188.114.98.22:880,0.00%,192 ms
162.159.192.199:4198,0.00%,192 ms
162.159.192.186:880,0.00%,192 ms
162.159.192.124:4198,0.00%,192 ms
162.159.192.203:880,0.00%,192 ms
162.159.195.112:880,0.00%,192 ms
188.114.97.225:4198,0.00%,192 ms
188.114.97.16:880,0.00%,192 ms
188.114.98.142:880,0.00%,192 ms
162.159.192.102:4198,0.00%,192 ms
188.114.97.96:4198,0.00%,192 ms
162.159.195.179:4198,0.00%,192 ms
162.159.192.232:880,0.00%,192 ms
162.159.195.27:880,0.00%,192 ms
188.114.96.69:4198,0.00%,192 ms
188.114.99.216:880,0.00%,192 ms
162.159.192.73:880,0.00%,192 ms
188.114.97.195:4198,0.00%,192 ms
188.114.98.252:4198,0.00%,192 ms
162.159.195.71:880,0.00%,192 ms
188.114.99.55:880,0.00%,192 ms
188.114.97.195:880,0.00%,192 ms
188.114.98.22:4198,0.00%,192 ms
188.114.98.142:4198,0.00%,192 ms
188.114.99.249:4198,0.00%,192 ms
162.159.195.178:880,0.00%,192 ms
188.114.98.253:880,0.00%,192 ms
162.159.195.67:880,0.00%,192 ms
188.114.99.170:880,0.00%,192 ms
162.159.195.178:4198,0.00%,192 ms
162.159.195.246:4198,0.00%,192 ms
162.159.195.112:4198,0.00%,192 ms
188.114.97.196:880,0.00%,192 ms
188.114.96.145:4198,0.00%,192 ms
188.114.99.55:4198,0.00%,192 ms
188.114.96.219:4198,0.00%,192 ms
188.114.97.219:4198,0.00%,192 ms
188.114.98.58:4198,0.00%,192 ms
188.114.96.226:4198,0.00%,192 ms
162.159.195.236:4198,0.00%,192 ms
188.114.98.253:4198,0.00%,192 ms
188.114.97.7:4198,0.00%,192 ms
188.114.98.105:4198,0.00%,192 ms
162.159.192.102:880,0.00%,192 ms
