IP:PORT, LOSS, DELAY
188.114.97.123:955,0.00%,167 ms
188.114.97.123:854,0.00%,168 ms
188.114.97.39:955,0.00%,168 ms
188.114.99.51:955,0.00%,170 ms
188.114.99.51:854,0.00%,170 ms
188.114.98.47:854,0.00%,170 ms
188.114.97.163:955,0.00%,170 ms
188.114.97.129:955,0.00%,171 ms
188.114.96.38:955,0.00%,171 ms
188.114.97.163:854,0.00%,172 ms
188.114.96.216:955,0.00%,172 ms
188.114.98.47:955,0.00%,173 ms
188.114.97.20:955,0.00%,173 ms
188.114.97.20:854,0.00%,174 ms
188.114.98.43:854,0.00%,174 ms
188.114.96.216:854,0.00%,174 ms
188.114.96.38:854,0.00%,174 ms
188.114.99.205:854,0.00%,174 ms
188.114.96.40:955,0.00%,175 ms
188.114.98.227:955,0.00%,176 ms
188.114.99.22:955,0.00%,176 ms
188.114.99.213:955,0.00%,177 ms
188.114.97.129:854,0.00%,177 ms
162.159.195.233:955,0.00%,178 ms
188.114.98.90:854,0.00%,179 ms
162.159.195.109:955,0.00%,179 ms
188.114.99.103:955,0.00%,179 ms
188.114.98.71:854,0.00%,180 ms
188.114.98.90:955,0.00%,180 ms
188.114.98.102:955,0.00%,180 ms
188.114.99.103:854,0.00%,180 ms
188.114.98.43:955,0.00%,180 ms
188.114.99.213:854,0.00%,181 ms
162.159.195.208:955,0.00%,181 ms
162.159.195.20:854,0.00%,181 ms
188.114.98.71:955,0.00%,182 ms
188.114.99.205:955,0.00%,182 ms
162.159.195.208:854,0.00%,182 ms
162.159.195.253:955,0.00%,182 ms
162.159.195.144:854,0.00%,182 ms
188.114.98.135:854,0.00%,182 ms
188.114.98.115:854,0.00%,182 ms
188.114.97.204:854,0.00%,183 ms
162.159.195.253:854,0.00%,183 ms
188.114.99.86:955,0.00%,183 ms
162.159.195.100:854,0.00%,183 ms
188.114.96.195:955,0.00%,183 ms
162.159.195.109:854,0.00%,184 ms
188.114.98.102:854,0.00%,184 ms
188.114.96.186:955,0.00%,184 ms
188.114.99.245:854,0.00%,184 ms
162.159.195.233:854,0.00%,184 ms
162.159.195.100:955,0.00%,184 ms
188.114.98.188:854,0.00%,185 ms
188.114.99.22:854,0.00%,185 ms
188.114.97.198:854,0.00%,186 ms
188.114.98.124:955,0.00%,186 ms
188.114.98.227:854,0.00%,186 ms
188.114.97.230:955,0.00%,186 ms
188.114.97.198:955,0.00%,186 ms
188.114.99.136:854,0.00%,186 ms
162.159.195.20:955,0.00%,186 ms
188.114.97.204:955,0.00%,187 ms
188.114.97.230:854,0.00%,187 ms
162.159.195.144:955,0.00%,187 ms
188.114.99.48:854,0.00%,188 ms
188.114.99.203:854,0.00%,188 ms
188.114.96.33:854,0.00%,188 ms
188.114.96.33:955,0.00%,188 ms
188.114.99.203:955,0.00%,188 ms
188.114.98.115:955,0.00%,188 ms
162.159.195.23:955,0.00%,189 ms
188.114.98.194:854,0.00%,189 ms
162.159.195.23:854,0.00%,189 ms
188.114.96.205:854,0.00%,189 ms
162.159.195.59:854,0.00%,189 ms
188.114.99.245:955,0.00%,190 ms
188.114.97.68:955,0.00%,190 ms
188.114.97.68:854,0.00%,190 ms
188.114.98.124:854,0.00%,190 ms
188.114.96.195:854,0.00%,190 ms
162.159.195.216:854,0.00%,191 ms
188.114.97.125:955,0.00%,192 ms
162.159.195.236:854,0.00%,192 ms
188.114.99.130:955,0.00%,192 ms
188.114.97.125:854,0.00%,192 ms
188.114.96.131:854,0.00%,192 ms
188.114.99.86:854,0.00%,193 ms
188.114.99.26:955,0.00%,193 ms
188.114.98.188:955,0.00%,194 ms
188.114.99.36:854,0.00%,194 ms
188.114.98.194:955,0.00%,194 ms
188.114.97.39:854,0.00%,195 ms
188.114.98.135:955,0.00%,195 ms
188.114.96.205:955,0.00%,195 ms
188.114.99.48:955,0.00%,195 ms
188.114.96.188:854,0.00%,195 ms
188.114.98.60:955,0.00%,195 ms
188.114.96.188:955,0.00%,195 ms
162.159.195.216:955,0.00%,196 ms
188.114.96.122:854,0.00%,196 ms
188.114.96.122:955,0.00%,197 ms
188.114.99.119:955,0.00%,197 ms
188.114.98.93:854,0.00%,197 ms
162.159.195.236:955,0.00%,197 ms
162.159.195.4:854,0.00%,197 ms
162.159.195.59:955,0.00%,198 ms
188.114.96.131:955,0.00%,198 ms
188.114.99.130:854,0.00%,198 ms
188.114.99.26:854,0.00%,198 ms
188.114.97.67:854,0.00%,199 ms
188.114.97.107:854,0.00%,199 ms
188.114.99.136:955,0.00%,200 ms
188.114.98.93:955,0.00%,201 ms
188.114.96.40:854,0.00%,202 ms
162.159.195.4:955,0.00%,202 ms
188.114.96.139:955,0.00%,202 ms
188.114.97.2:955,0.00%,202 ms
188.114.99.119:854,0.00%,202 ms
188.114.97.98:955,0.00%,202 ms
162.159.195.33:854,0.00%,202 ms
188.114.96.59:854,0.00%,202 ms
188.114.99.36:955,0.00%,203 ms
188.114.96.186:854,0.00%,203 ms
188.114.97.107:955,0.00%,203 ms
188.114.97.174:854,0.00%,203 ms
188.114.98.60:854,0.00%,203 ms
188.114.96.85:955,0.00%,203 ms
162.159.195.33:955,0.00%,204 ms
188.114.97.98:854,0.00%,204 ms
188.114.96.59:955,0.00%,205 ms
188.114.96.139:854,0.00%,205 ms
188.114.97.67:955,0.00%,205 ms
188.114.96.85:854,0.00%,207 ms
188.114.97.174:955,0.00%,209 ms
188.114.96.221:955,0.00%,216 ms
188.114.96.221:854,0.00%,220 ms
188.114.97.2:854,100.00%,1000 ms
162.159.193.175:854,100.00%,1000 ms
162.159.193.4:955,100.00%,1000 ms
162.159.193.247:854,100.00%,1000 ms
162.159.193.5:955,100.00%,1000 ms
162.159.192.32:854,100.00%,1000 ms
162.159.192.96:955,100.00%,1000 ms
162.159.192.97:955,100.00%,1000 ms
162.159.192.113:854,100.00%,1000 ms
162.159.193.175:955,100.00%,1000 ms
162.159.193.235:955,100.00%,1000 ms
162.159.193.235:854,100.00%,1000 ms
162.159.192.81:854,100.00%,1000 ms
162.159.193.5:854,100.00%,1000 ms
162.159.193.249:854,100.00%,1000 ms
162.159.192.223:854,100.00%,1000 ms
162.159.193.240:955,100.00%,1000 ms
162.159.193.102:854,100.00%,1000 ms
162.159.193.102:955,100.00%,1000 ms
162.159.192.243:955,100.00%,1000 ms
162.159.193.185:955,100.00%,1000 ms
162.159.192.160:854,100.00%,1000 ms
162.159.193.185:854,100.00%,1000 ms
162.159.192.81:955,100.00%,1000 ms
162.159.192.97:854,100.00%,1000 ms
162.159.192.160:955,100.00%,1000 ms
162.159.193.194:955,100.00%,1000 ms
162.159.193.28:854,100.00%,1000 ms
162.159.193.249:955,100.00%,1000 ms
162.159.193.121:854,100.00%,1000 ms
188.114.96.12:854,100.00%,1000 ms
162.159.193.121:955,100.00%,1000 ms
162.159.193.194:854,100.00%,1000 ms
162.159.192.217:854,100.00%,1000 ms
162.159.192.202:854,100.00%,1000 ms
162.159.192.104:955,100.00%,1000 ms
162.159.193.143:854,100.00%,1000 ms
162.159.193.41:854,100.00%,1000 ms
162.159.193.223:854,100.00%,1000 ms
162.159.193.240:854,100.00%,1000 ms
162.159.192.150:955,100.00%,1000 ms
162.159.193.41:955,100.00%,1000 ms
162.159.192.223:955,100.00%,1000 ms
162.159.192.113:955,100.00%,1000 ms
162.159.192.202:955,100.00%,1000 ms
162.159.193.4:854,100.00%,1000 ms
162.159.192.150:854,100.00%,1000 ms
162.159.192.103:955,100.00%,1000 ms
162.159.193.28:955,100.00%,1000 ms
162.159.192.217:955,100.00%,1000 ms
162.159.193.223:955,100.00%,1000 ms
162.159.192.96:854,100.00%,1000 ms
162.159.192.108:854,100.00%,1000 ms
162.159.193.247:955,100.00%,1000 ms
162.159.192.243:854,100.00%,1000 ms
162.159.192.103:854,100.00%,1000 ms
162.159.192.116:955,100.00%,1000 ms
188.114.96.12:955,100.00%,1000 ms
162.159.192.32:955,100.00%,1000 ms
162.159.193.143:955,100.00%,1000 ms
162.159.192.104:854,100.00%,1000 ms
162.159.192.116:854,100.00%,1000 ms
162.159.192.108:955,100.00%,1000 ms
